Date,Open,High,Low,Close,Volume
2008-07-31,2960.91,2960.91,2928.33,2929.64,248623504
2008-08-01,2893.98,2911.83,2883.87,2906.07,171295008
2008-08-04,2877.65,2883.8,2867.04,2876.08,191634000
2008-08-05,2878.01,2878.93,2807.55,2860.51,401768992
2008-08-06,2900.38,2900.87,2878.84,2886.78,243739008
2008-08-07,2872.55,2873.43,2823.87,2834.71,305051488
2008-08-08,2817.07,2831.85,2803.81,2807.54,203716992
2008-08-11,2836.09,2843.57,2818.25,2825.38,178938496
2008-08-12,2823.51,2840.74,2809.25,2816.82,186732992
2008-08-13,2787.57,2814.58,2781.62,2811.79,212260496
2008-08-14,2811.89,2829.36,2802.11,2816.65,224728496
2008-08-15,2821.63,2821.63,2792.62,2797.5,178332000
2008-08-18,2796.03,2803.64,2773.05,2776.98,180370496
2008-08-19,2741.15,2754.21,2726.23,2728.38,186779504
2008-08-20,2714.52,2754.89,2711.76,2751.75,216593504
2008-08-21,2742.5,2742.5,2708.79,2713.47,194108992
2008-08-22,2717.37,2723.3,2707.91,2723.3,145124496
2008-08-25,2747.97,2754.51,2728.17,2733.45,138299504
2008-08-26,2701.78,2710.11,2690.07,2707.18,165412000
2008-08-27,2697.24,2711.46,2688.38,2705.09,162587504
2008-08-28,2704.5,2713.3,2688.32,2691,168828496
2008-08-29,2724.11,2739.95,2716.79,2739.95,238369504
2008-09-01,2718.07,2720.5,2691.05,2713.79,112619000
2008-09-02,2713.79,2763.41,2695.67,2758.93,184562000
2008-09-03,2742.88,2750.54,2706.53,2706.53,215856992
2008-09-04,2683.03,2686.13,2626.05,2626.05,306108512
2008-09-05,2562.04,2585.16,2554.04,2574.21,318012992
2008-09-08,2666.79,2697.03,2653.84,2697.03,278185984
2008-09-09,2679.43,2679.67,2645.81,2673.21,189734000
2008-09-10,2639.71,2655.42,2622.4,2622.4,240012000
2008-09-11,2605.09,2605.09,2541.15,2541.15,271330496
2008-09-12,2570.9,2582.44,2555.16,2570.67,222516992
2008-09-15,2524.83,2537.78,2480.28,2486.55,208888992
2008-09-16,2417.96,2468.03,2412.34,2461.43,369055008
2008-09-17,2494.62,2498.24,2399.3,2419.29,273077504
2008-09-18,2345.57,2448.99,2307.79,2419.21,454023488
2008-09-19,2493.37,2575.4,2493.37,2559.07,539328512
2008-09-22,2600.32,2604.51,2533.87,2544.13,409967200
2008-09-23,2487.9,2504.35,2476.51,2476.51,232751392
2008-09-24,2477.6,2495.35,2477.6,2477.6,270057600
2008-09-25,2449.52,2471.51,2442.8,2444.24,205099600
2008-09-26,2437.07,2443.38,2399.71,2411.46,226806400
2008-09-29,2440.21,2449.2,2347.49,2361.34,265556896
2008-09-30,2247.86,2371.31,2239.75,2358.91,544167168
2008-10-02,2371.07,2398.67,2313.63,2363.6,357855008
2008-10-03,2333.17,2336.01,2297.12,2297.12,288747488
2008-10-06,2253.06,2253.06,2165.68,2168.32,369899008
2008-10-07,2134.99,2230.32,2128.96,2177.55,449221312
2008-10-08,2119.91,2124.85,2025.56,2033.61,445807008
2008-10-09,2038.02,2123.01,2038.02,2102.71,412187008
2008-10-10,1948.57,1982.33,1926.26,1948.33,467414208
2008-10-13,1995.68,2106.39,1945.55,2076.35,524079008
