Date,Open,High,Low,Close,Volume
2008-05-07,6215.2,6275,6214.1,6261,864317952
2008-05-08,6256.5,6273.29,6217,6270.79,891115264
2008-05-09,6270.79,6270.79,6167.6,6204.7,828187456
2008-05-12,6204.7,6251.89,6184.79,6220.6,594850752
2008-05-13,6220.6,6268.1,6142.29,6211.89,919241664
2008-05-14,6211.89,6246.79,6167.89,6216,1019568768
2008-05-15,6216,6258.5,6168.79,6251.79,981810176
2008-05-16,6251.79,6348.6,6251.79,6304.29,1031435392
2008-05-19,6304.29,6377,6302.79,6376.5,984994880
2008-05-20,6376.5,6376.5,6191.6,6191.6,1215179136
2008-05-21,6191.6,6257.29,6183.5,6198.1,1157231488
2008-05-22,6198.1,6226.2,6159.39,6181.6,1393589888
2008-05-23,6181.6,6182.89,6087.29,6087.29,1006658560
2008-05-27,6087.29,6141.7,6048.7,6058.5,1104461824
2008-05-28,6058.5,6122.2,6052.5,6069.6,1227979648
2008-05-29,6069.6,6130.5,6041.1,6068.1,1242751488
2008-05-30,6068.1,6111.6,6044.7,6053.5,1424523008
2008-06-02,6053.5,6060.79,5978.39,6007.6,1186908160
2008-06-03,6007.6,6059,5993.29,6057.7,1188037376
2008-06-04,6057.7,6057.7,5933.29,5970.1,1452294528
2008-06-05,5970.1,6005.1,5941,5995.29,1308013440
2008-06-06,5995.29,6074.5,5906.5,5906.79,1136685568
2008-06-09,5906.79,5938.5,5869.6,5877.6,1166996608
2008-06-10,5877.6,5877.6,5813.39,5827.29,1141958656
2008-06-11,5827.29,5859.39,5708.29,5723.29,1719151744
2008-06-12,5723.29,5797.79,5719.79,5790.5,1632505728
2008-06-13,5790.5,5818.29,5719.5,5802.79,1175106688
2008-06-16,5802.79,5832.6,5759.6,5794.6,1100075648
2008-06-17,5794.6,5930.29,5794.6,5861.89,1172330752
2008-06-18,5861.89,5861.89,5735.39,5756.89,1151730944
2008-06-19,5756.89,5786.39,5707.2,5708.39,1255729408
2008-06-20,5708.39,5731.89,5597,5620.79,1445766144
2008-06-23,5620.79,5679.2,5603.2,5667.2,1129003136
2008-06-24,5667.2,5693.79,5581.6,5634.7,1356162816
2008-06-25,5634.7,5669.6,5634.7,5666.1,1384806272
2008-06-26,5666.1,5666.1,5518.2,5518.2,1431973120
2008-06-27,5518.2,5555.2,5470.89,5529.89,1513937920
2008-06-30,5529.89,5625.89,5520.2,5625.89,1227852544
2008-07-01,5625.89,5625.89,5466.29,5479.89,1603633152
2008-07-02,5479.89,5566.79,5426.29,5426.29,1583277312
2008-07-03,5426.29,5490.6,5358.5,5476.6,1550344576
2008-07-04,5476.6,5490.2,5394,5412.79,861820608
2008-07-07,5412.79,5516.39,5400.1,5512.7,1036735360
2008-07-08,5512.7,5512.7,5358.7,5440.5,1385523840
2008-07-09,5440.5,5538.2,5440.5,5529.6,1319349376
2008-07-10,5529.6,5529.6,5392.6,5406.79,1275498496
2008-07-11,5406.79,5461.79,5261.6,5261.6,1497458048
2008-07-14,5261.6,5373.2,5261.6,5300.39,1239120256
2008-07-15,5300.39,5300.39,5119,5171.89,1824039424
2008-07-16,5171.89,5210.1,5071.1,5150.6,1887215488
2008-07-17,5150.6,5320.5,5150.6,5286.29,2001979520
2008-07-18,5286.29,5376.39,5216.6,5376.39,1847159040
2008-07-21,5376.39,5445.79,5334.6,5404.29,1474836992
2008-07-22,5404.29,5404.29,5282.79,5364.1,2089733632
2008-07-23,5364.1,5467.2,5364.1,5449.89,2178488064
2008-07-24,5449.89,5463.7,5345.1,5362.29,1605818496
2008-07-25,5362.29,5375.2,5291.39,5352.6,1554280448
2008-07-28,5352.6,5365.79,5308.39,5312.6,985668800
2008-07-29,5312.6,5354.6,5261.39,5319.2,886681216
2008-07-30,5319.2,5435.89,5319.2,5420.7,974839168
2008-07-31,5420.7,5456.1,5371.29,5411.89,1453459840
2008-08-01,5411.89,5411.89,5321.29,5354.7,1170060288
2008-08-04,5354.7,5414.7,5310.29,5320.2,834382272
2008-08-05,5320.2,5454.5,5299.7,5454.5,1278249984
2008-08-06,5454.5,5498.6,5440.1,5486.1,1010882048
2008-08-07,5486.1,5539.29,5450.89,5477.5,1352981504
2008-08-08,5477.5,5507.2,5410.79,5489.2,788807552
2008-08-11,5489.2,5541.79,5477.7,5541.79,991379968
2008-08-12,5541.79,5569.2,5491.29,5534.5,983031232
2008-08-13,5534.5,5534.5,5437.1,5448.6,1203624320
2008-08-14,5448.6,5539.6,5445.6,5497.39,887060480
2008-08-15,5497.39,5538.79,5432.2,5454.79,827611712
2008-08-18,5454.79,5498.7,5425.29,5450.2,627905728
2008-08-19,5450.2,5450.2,5317.1,5320.39,1004861504
2008-08-20,5320.39,5384.2,5320.39,5371.79,699172864
2008-08-21,5371.79,5408,5311.39,5370.2,663598784
2008-08-22,5370.2,5505.6,5368,5505.6,920646208
2008-08-26,5505.6,5505.6,5369.29,5470.7,826745600
2008-08-27,5470.7,5540.79,5434.7,5528.1,748726464
2008-08-28,5528.1,5634,5496.89,5601.2,921505472
2008-08-29,5601.2,5649.1,5587.39,5636.6,973563008
2008-09-01,5636.6,5636.6,5573.79,5602.79,516158656
2008-09-02,5602.79,5646.5,5574.89,5620.7,1172792064
2008-09-03,5620.7,5620.7,5492.1,5499.7,1079141888
2008-09-04,5499.7,5541.7,5362.1,5362.1,729779072
2008-09-05,5362.1,5362.1,5227.6,5240.7,1450038144
2008-09-08,5240.7,5447.6,5240.7,5446.29,737816384
2008-09-09,5446.29,5524.79,5386.89,5415.6,1485168896
2008-09-10,5415.6,5419.5,5327.79,5366.2,1353566848
2008-09-11,5366.2,5377.9,5258.1,5318.4,1297597184
2008-09-12,5318.4,5416.7,5318.4,5416.7,1207983360
2008-09-15,5416.7,5416.7,5124.9,5204.2,1321726720
2008-09-16,5204.2,5204.2,4961.2,5025.6,2636737792
2008-09-17,5025.6,5124.4,4903.3,4912.4,2814492672
2008-09-18,4912.4,5015.9,4860.7,4880,1761864192
2008-09-19,4880,5351.2,4857.1,5311.3,2445179392
2008-09-22,5311.33,5339.25,5236.26,5236.26,1199473920
2008-09-23,5236.26,5236.26,5076.32,5136.12,1332644224
2008-09-24,5136.12,5167.36,5087.3,5095.57,1079937664
2008-09-25,5095.57,5211.64,5060.74,5197.02,1280900224
2008-09-26,5197.02,5197.02,5057.33,5088.47,1022129408
2008-09-29,5088.47,5088.47,4818.77,4818.77,1091815424
2008-09-30,4818.77,4953.4,4671.02,4902.45,1586007808
2008-10-01,4902.45,5012.24,4891.46,4959.59,1380382080
2008-10-02,4959.59,5052,4862.11,4870.34,912705280
2008-10-03,4870.34,5003.9,4832.1,4980.25,1013157440
2008-10-06,4980.25,4980.25,4549.66,4589.19,773383040
2008-10-07,4589.19,4727.19,4517.47,4605.22,1174416512
2008-10-08,4605.22,4654.18,4245.29,4366.69,1473399296
2008-10-09,4366.69,4512.45,4313.8,4313.8,1079840256
2008-10-10,4313.8,4313.8,3873.99,3932.06,2437088768
2008-10-13,3932.06,4256.9,3932.06,4256.9,1879755392
2008-10-14,4256.9,4534.35,4256.9,4394.21,980055680
2008-10-15,4394.21,4394.21,4051.98,4079.59,1222707584
2008-10-16,4079.59,4079.59,3808.11,3861.39,982682176
2008-10-17,3861.39,4077.58,3861.29,4063.01,1524408832
2008-10-20,4063.01,4282.67,4063.01,4282.67,1295968896
2008-10-21,4282.67,4347.69,4212.37,4229.73,1115955200
2008-10-22,4229.73,4229.73,4031.79,4040.89,1270593536
2008-10-23,4040.89,4087.83,3927.57,4087.83,1268356480
2008-10-24,4087.83,4087.83,3715.24,3883.36,1580784000
2008-10-27,3883.36,3911.61,3665.21,3852.59,1240421760
2008-10-28,3852.59,4034.02,3847.55,3926.38,1411739392
2008-10-29,3926.38,4242.54,3926.38,4242.54,1459285376
2008-10-30,4242.54,4352.47,4200.24,4291.65,1166154368
2008-10-31,4291.65,4383.9,4195.15,4377.34,1528615040
2008-11-03,4377.34,4443.28,4348.29,4443.28,1042794240
2008-11-04,4443.28,4639.5,4404.2,4639.5,1285207680
2008-11-05,4639.5,4639.5,4495.7,4530.73,1011581184
2008-11-06,4530.73,4530.73,4260.26,4272.41,1464610944
2008-11-07,4272.41,4408.1,4263.78,4364.96,1145180928
2008-11-10,4364.96,4524.87,4364.96,4403.92,975222272
2008-11-11,4403.92,4403.92,4231.49,4246.69,1197532544
2008-11-12,4246.69,4333.37,4134.51,4182.02,1276414848
2008-11-13,4182.02,4198.67,4079.62,4169.21,1176012672
2008-11-14,4169.21,4342.29,4169.21,4232.97,1062384064
2008-11-17,4232.97,4236.41,4110.68,4132.16,861704896
2008-11-18,4132.16,4208.55,4033.4,4208.55,1145221504
2008-11-19,4208.55,4213.2,3999.13,4005.68,1076513152
2008-11-20,4005.68,4005.68,3824.51,3874.99,1372904448
2008-11-21,3874.99,3946.67,3734.07,3780.96,1397050368
2008-11-24,3780.96,4153.08,3780.96,4152.96,1436414208
2008-11-25,4152.96,4268.34,4069.34,4171.25,1743111040
2008-11-26,4171.25,4198.74,4050.67,4152.69,1040895360
2008-11-27,4152.69,4241.7,4152.69,4226.1,670901952
2008-11-28,4226.1,4288.01,4192.46,4288.01,798170752
2008-12-01,4288.01,4288.01,4038.45,4065.49,921387520
2008-12-02,4065.49,4137.11,3973.26,4122.86,1411343232
2008-12-03,4122.86,4190.93,4042.31,4169.96,1028678784
2008-12-04,4169.96,4261.07,4090.04,4163.61,1052272768
2008-12-05,4163.61,4163.61,4002.21,4049.37,1053458048
2008-12-08,4049.37,4318,4049.37,4300.06,1062549056
2008-12-09,4300.06,4412.96,4232.62,4381.26,937335616
2008-12-10,4381.26,4407.13,4329.95,4367.28,943530496
2008-12-11,4367.28,4430.28,4307.83,4388.69,840024320
2008-12-12,4388.69,4388.69,4201.86,4280.35,961868032
2008-12-15,4280.35,4340.7,4238.87,4277.56,774396352
2008-12-16,4277.56,4330.13,4246.1,4309.08,776340032
2008-12-17,4309.08,4341.12,4231.13,4324.19,988322944
2008-12-18,4324.19,4352.68,4282.6,4330.66,979336576
2008-12-19,4330.66,4330.66,4200.71,4286.93,1369306496
2008-12-22,4286.93,4305.43,4219.82,4249.16,682497856
2008-12-23,4249.16,4307.09,4244.17,4255.98,525723936
2008-12-24,4255.98,4255.98,4205.18,4216.59,132008672
2008-12-29,4216.59,4326.25,4216.59,4319.35,381394688
2008-12-30,4319.35,4406.07,4319.35,4392.68,368171936
2008-12-31,4392.68,4456.19,4392.68,4434.17,208414880
2009-01-02,4434.17,4561.79,4430.02,4561.79,163235008
2009-01-05,4561.79,4618.11,4520.76,4579.64,340376672
2009-01-06,4579.64,4675.68,4562.01,4638.92,886955968
2009-01-07,4638.92,4638.92,4477.99,4507.51,901939456
2009-01-08,4507.51,4514.71,4410.48,4505.37,803112192
2009-01-09,4505.37,4534.81,4431.88,4448.54,878821696
2009-01-12,4448.54,4471.34,4402.29,4426.19,638742336
2009-01-13,4426.19,4426.19,4321.34,4399.15,789228416
2009-01-14,4399.15,4426.47,4115.43,4180.64,1187295488
2009-01-15,4180.64,4199.39,4090.87,4121.11,1125731072
2009-01-16,4180.64,4222.09,4090.87,4147.06,1284063744
2009-01-19,4147.06,4251.92,4032.39,4108.47,1798355840
2009-01-20,4108.47,4184.25,4060.57,4091.4,1996502912
2009-01-21,4091.4,4112.84,4001.35,4059.88,2086302976
2009-01-22,4059.88,4153.88,4046.37,4052.23,1399683712
2009-01-23,4052.23,4070.75,3956.67,4052.47,1398895616
2009-01-26,4052.47,4225.21,4039.41,4209.01,1368440576
2009-01-27,4209.01,4211.03,4130.79,4194.41,1150166912
2009-01-28,4194.41,4317.61,4194.41,4295.2,1574112512
2009-01-29,4295.2,4295.2,4147.7,4190.11,1208697216
2009-01-30,4190.11,4228,4125.2,4149.64,1348411776
2009-02-02,4149.64,4149.64,4036.93,4077.78,1145874560
2009-02-03,4077.78,4173.24,4043.37,4164.46,984440768
2009-02-04,4164.46,4262.73,4160.43,4228.6,1088294912
2009-02-05,4228.6,4235.28,4133.52,4228.93,1103735936
2009-02-06,4228.93,4330.73,4225.62,4291.87,1294622208
2009-02-09,4291.87,4333.97,4244.04,4307.61,1037123584
2009-02-10,4307.61,4309.49,4210.46,4213.08,965523072
2009-02-11,4213.08,4244.53,4182.1,4234.26,838345792
2009-02-12,4234.26,4234.26,4135.07,4202.24,1070295360
2009-02-13,4202.24,4291.57,4168.01,4189.59,1317745408
2009-02-16,4189.59,4189.59,4127.26,4134.75,705702272
2009-02-17,4134.75,4134.75,3995.39,4034.13,1063607744
2009-02-18,4034.13,4056.48,3938.12,4006.83,1113985408
2009-02-19,4006.83,4045.2,3983.91,4018.37,1049021056
2009-02-20,4018.37,4018.37,3877.76,3889.06,1137268992
2009-02-23,3889.06,3959.98,3844.9,3850.73,913179456
2009-02-24,3850.73,3852.25,3772.45,3816.44,934808640
2009-02-25,3852.6,3884.06,3803.92,3848.98,1066965632
2009-02-26,3848.98,3948.22,3848.98,3915.64,1946979200
2009-02-27,3915.64,3915.64,3760.7,3830.09,1504557568
2009-03-02,3830.09,3830.09,3625.83,3625.83,1316507264
2009-03-03,3625.83,3676.86,3497.27,3512.09,1334986496
2009-03-04,3512.09,3649.5,3512.09,3645.87,1098706560
2009-03-05,3645.87,3645.87,3526.41,3529.86,1289612544
2009-03-06,3529.86,3590.22,3492.1,3530.73,1299413888
2009-03-09,3530.73,3564.75,3460.71,3542.4,1352145024
2009-03-10,3542.4,3726.31,3516.3,3715.23,1330728064
2009-03-11,3715.23,3763.24,3652.01,3693.81,1347778432
2009-03-12,3693.81,3725.6,3616.5,3712.06,1122871680
2009-03-13,3712.06,3816.02,3712.06,3753.68,1099638144
2009-03-16,3753.68,3863.99,3753.68,3863.99,996145600
2009-03-17,3863.99,3863.99,3793.13,3857.1,995058496
2009-03-18,3857.1,3901.65,3768.5,3804.99,1005694016
2009-03-19,3804.99,3912.64,3793.7,3816.93,2141080192
2009-03-20,3816.93,3854.87,3777.73,3842.85,1822250240
2009-03-23,3842.85,3978.6,3842.85,3952.81,1280120704
2009-03-24,3952.81,3992.42,3878.42,3911.46,1249863552
2009-03-25,3911.46,3939.16,3852.96,3900.25,1117249408
2009-03-26,3900.25,3929.54,3877.79,3925.2,1265926144
2009-03-27,3925.2,3950.32,3877.55,3898.85,1348024960
2009-03-30,3898.85,3898.85,3762.91,3762.91,1044791040
2009-03-31,3762.91,3930.62,3762.91,3926.14,1253729152
2009-04-01,3926.14,3972.68,3838.22,3955.61,1054710272
2009-04-02,3955.61,4137.85,3955.61,4124.97,1473141504
2009-04-03,4124.97,4132.93,4015.59,4029.67,1258262016
2009-04-06,4029.67,4097.17,3959.6,3993.54,1071710016
2009-04-07,3993.54,4039.52,3909.88,3930.52,967609280
2009-04-08,3930.52,3940.42,3876.11,3925.52,967030080
2009-04-09,3925.52,3986.28,3911.99,3983.71,966230912
2009-04-14,3983.71,4039.67,3939.61,3988.99,1246248448
2009-04-15,3988.99,4023.35,3941.61,3968.4,1089423488
2009-04-16,3968.4,4052.98,3963.57,4052.98,1093695104
2009-04-17,4052.98,4114.32,4043.21,4092.8,1378100352
2009-04-20,4092.8,4112.75,3962.87,3990.86,227369200
2009-04-21,3990.86,4019.16,3897.25,3987.46,292278464
2009-04-22,3987.46,4036.03,3948.22,4030.66,254579936
2009-04-23,4030.66,4082.31,3999.06,4018.23,148349952
2009-04-24,4018.23,4155.99,4018.23,4155.99,269924352
2009-04-27,4155.99,4179.17,4088.67,4167.01,156610592
2009-04-28,4167.01,4167.01,4058.73,4096.4,170825520
2009-04-29,4096.4,4193.32,4089.46,4189.59,248262160
2009-04-30,4189.59,4293.63,4189.59,4243.71,348089856
2009-05-01,4243.71,4251.57,4210.75,4243.22,125472328
2009-05-05,4243.22,4375.35,4243.22,4336.94,320810784
2009-05-06,4336.94,4437.61,4317.05,4396.49,243834560
2009-05-07,4396.49,4520.82,4380.27,4398.68,430354528
2009-05-08,4398.68,4487.5,4398.68,4462.09,294586016
2009-05-11,4462.09,4470.05,4401.52,4435.5,260052624
2009-05-12,4435.5,4457.46,4397.41,4425.54,346084032
2009-05-13,4425.54,4447.96,4328.17,4331.37,288687488
2009-05-14,4331.37,4371.28,4295.19,4362.58,208984576
2009-05-15,4362.58,4400.72,4317.23,4348.11,197201280
2009-05-18,4348.11,4446.45,4307.72,4446.45,219532336
2009-05-19,4446.45,4512.7,4445.48,4482.25,307423872
2009-05-20,4482.25,4504.2,4445.09,4468.41,285425056
2009-05-21,4468.41,4468.41,4325.77,4345.47,279266336
2009-05-22,4345.47,4393.07,4335.01,4365.29,260722800
2009-05-26,4365.29,4423.64,4294.98,4411.72,216790688
2009-05-27,4411.72,4439.79,4390.23,4416.23,237266688
2009-05-28,4416.23,4416.23,4341.08,4387.54,218151920
2009-05-29,4387.54,4469.43,4387.54,4417.94,507783264
2009-06-01,4417.94,4517.6,4417.94,4506.19,161044768
2009-06-02,4506.19,4506.19,4435.92,4477.02,267685024
2009-06-03,4477.02,4477.18,4359.33,4383.42,267410048
2009-06-04,4383.42,4436.25,4359.66,4386.94,195667328
2009-06-05,4386.94,4495.94,4386.94,4438.56,296536448
2009-06-08,4438.56,4438.56,4370.55,4405.22,331099072
2009-06-09,4405.22,4445.54,4387.34,4404.79,215548928
2009-06-10,4404.79,4505.89,4404.79,4436.75,252407440
2009-06-11,4436.75,4478.42,4409.15,4461.87,288328096
2009-06-12,4461.87,4471.95,4427.24,4441.95,268550528
2009-06-15,4441.95,4441.95,4319.79,4326.01,311772928
2009-06-16,4326.01,4372.85,4321.56,4328.57,400731392
